Date,Time Start,Time End ,Duration,GPS_File,Purpose
1/30/2015,8:24,13:10,4:46,,EK-60
1/30/2015,13:27,15:02,1:35,,Survey
1/30/2015,17:00,18:20,1:20,,EK-60
2/1/2015,8:24,9:05,0:41,,Survey
2/1/2015,16:06,17:15,1:09,,Survey
2/2/2015,8:45,11:12,2:27,,Survey with ASF & DWJ
2/2/2015,13:15,15:27,2:12,,Survey with ASF & DWJ
1/16/2016,17:30,20:45,3:15,,ended up finding a whale so biopsied
1/17/2016,14:30,17:00,2:30,,"ended up finding Mns, and Oos"
1/18/2016,9:30,11:30,2:00,,"went to dream with birders, seen three Mnovas and one Bb"
1/18/2016,2:30,4:30,2:00,,surveyed the south boating limits. No whales to be found. Lots of ice bergs still around
1/19/2016,9:20,11:20,2:00,,surveyed both north and south boating limits. Seen one minke near torgy and then three mnovas southeast of laggard outside boating area
1/20/2016,8:00,12:20,4:20,,got 120 Khz calibrated and then went out and biopsied 4 whales east of laggard and cormorant. Taking us in and out of BL
1/20/2016,15:15,16:15,1:00,,"Friedleisure cove down friedleisure highway, out towards station G"
1/22/2016,18:15,21:00,2:45,,"Went to biscoe with birders. Beaufort 3, didn’t see shit!!"
1/23/2016,9:30,12:00,2:30,,seen nothing
1/23/2016,13:00,16:45,3:45,,"did EK60 survey of FL Highway, cormorant and palmer tsect"
1/24/2016,9:30,17:00,7:30,," Station E, and Biscoe with birders"
1/25/2016,14:00,15:25,1:25,,Straight Line at Station E express
1/25/2016,18:30,19:30,1:00,,"went up glacier to look for whales seen nothing, lots of brash ice. "
1/26/2016,10:00,11:30,1:30,,"To windy, justs up to 30 Knots, went up ice berg seen no whales, boating closed for day"
1/27/2016,9:00,12:00,3:00,,"No animals, snow picked up making visibility challenging"
1/27/2016,14:30,15:49,1:19,,Did cormorant straigh and box survey
1/27/2016,15:42,15:49,0:07,,"Wpt SPC (-64.79269, -63.95313), krill mapped area where a sizeable group of Wilson's storm petrels have been hanging out. Think it is a potential whale fall area. No kril, witnessed oil slicks at surface"
1/27/2016,18:00,21:00,3:00,,"Surveyed out to biscoe, did large south western loop. Beaufort 0, sighting conditions were impecible but no whales around. Seen one minke whale"
1/28/2016,8:30,10:00,1:30,,"Surveyed out to biscoe with birders, again did large south western loop. Beaufort 0, sighting conditions were again impecible. No whales anywhere"
1/28/2016,10:00,10:58,0:58,,EK 60 survey of friedleisure highway straight transect. Started offshore working towards FL cove. Did not do whole t-sect because of brash
1/28/2016,15:06,16:31,1:25,,EK 60 survey of friedleisure highway box transect. Started offshore wih Doc working towards FL cove. Did not do whole t-sect b/c of brash
1/28/2016,16:45,17:00,0:15,,Went back to check storm petrel central. Lots of WSP there still and one GP. Smell seemed a bit stronger and large oil slick on surface again
1/29/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
1/30/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
1/31/2016,9:30,12:30,3:00,,"Went out towards norsel point first and then worked towards outcast, stn E, and then cormorant. Checked out SPC and storm petrels still there. Did not see any whales, Beaufort 3"
2/1/2016,8:15,9:45,1:30,,"Climbed glacier. Pretty foggy up there this am, did not see any whales."
2/1/2016,10:00,12:00,2:00,,"Headed straight out towards outcast, then worked down FL hwy. Seen no whales. 3-5ft swelll with Beaufort 3."
2/2/2016,9:20,9:36,0:16,,Palmer station t-sect straight
2/2/2016,9:39,10:20,0:41,,Palmer station t-sect box
2/2/2016,10:30,11:45,1:15,,North boating and halfway/dream. Found one whale near delaca
2/3/2016,9:00,12:00,3:00,,Biscoe with the Birders and then southern boating limits
2/3/2016,16:45,18:20,1:35,,"Whole boating limits, tried to do cormorant survey but to much brash"
2/4/2016,9:46,11:02,1:16,,"Attempted cormorant transect, too much brash, so we did a transect outside of cormorant and laggard, following the boating limits. Was a box transect. "
2/5/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
2/6/2016,13:00,17:00,4:00,,"Seen three whales, biopsied mom of mother calf pair. Third whale was travelling alone. Surveyed whole boating area. "
2/7/2016,9:00,12:00,3:00,,Dream with birders
2/7/2016,12:15,17:30,5:15,,Did chick weights with birders
2/8/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
2/9/2016,13:30,14:30,1:00,,"tried station E express, callded back as winds exceeded 20 knts"
2/10/2016,9:00,12:00,3:00,,Stn E express box
2/11/2016,9:03,10:42,1:39,,Cormorant box and straight with Susan
2/11/2016,13:54,15:02,1:08,,Palmer box and straight with Drew
2/12/2016,15:00,17:30,2:30,,south boating limit
2/13/2016,13:00,16:00,3:00,,Biscoe with the Birders and then southern boating limits
2/14/2016,16:00,17:30,1:30,,Biopsy survey with ari doug and erin in solas
2/15/2016,13:00,17:00,4:00,,Biopsy survey with Erin and JD
2/16/2016,,,0:00,,"Weather too bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
2/17/2016,9:30,11:00,1:30,,recovered glider with Mike
2/17/2016,15:00,17:00,2:00,,FL Hwy Box transect
2/18/2016,8:10,11:00,2:50,,"North and south boating, target practiced with the buoy "
2/19/2016,9:30,10:45,1:15,,"North boating, weather picked up so had to come back"
2/20/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
2/21/2016,9:00,12:00,3:00,,"South boating and Biscoe, found one animal near janice"
2/21/2016,13:00,17:00,4:00,,"Was going to do cormorant, then got a call of a whale. Was the same on from the morning (Mn15_052A_P). It was out by station E transect so we did that instead. "
2/22/2016,9:30,13:00,3:30,,"Biopsy survey of south and north, and dream with birders. 3 whales and on L.c scat sample. "
2/22/2016,16:00,16:50,0:50,,"South boating to do cormorant, tried to do palmer station transect but to many bergs. "
2/23/2016,8:30,11:30,3:00,,"South and north boating and Biscoe, Beaufort 0-1 out by biscoe"
2/23/2016,13:00,16:30,3:30,,No whales and palmer station transect
2/24/2016,9:30,11:00,1:30,,"beufort 4, really swelly took the solas. We saw no whales. Did south boating and north area also erin shot shit!"
2/25/2016,8:15,12:00,3:45,,"Beafort 1-2, sunniest day we have had yet. Did south and north boating area, visibility outsanding no whales."
2/25/2016,14:00,17:00,3:00,,"Beaufort 0-1, even sunnier. Seen no whales. Birders went to joubins and stood on peaks of islands and could see ~30 miles and did not see any whales. "
2/26/2016,8:30,11:00,2:30,," north and south, no whales, beafort 2-3"
2/26/2016,14:00,16:30,2:30,,FL Hwy Box transect
2/27/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
2/28/2016,13:00,14:30,1:30,,North and south. Thick fog and large swells. Beaufort 3
2/29/2016,8:10,12:00,3:50,,Went to Dream with birders. Took buggers to drop equiptment at Halfway and Dream Island.. Did north and south when we returned
2/29/2016,13:00,15:30,2:30,,Went to do Stn E express and were interupted by a whale 5ft away. Broke transect and biopsied whale. Took~1hr so did not resume transect. 
2/29/2016,16:00,17:40,1:40,,"Went and listened for tags, no pings"
3/1/2016,,,,,
3/2/2016,13:00,15:30,2:30,,"South and north boating and Biscoe, Beaufort 2-3 "
3/3/2016,13:45,15:00,1:15,,"South and north boating, fog and raining beaufort 2"
3/4/2016,8:30,12:45,4:15,,We went to the Joubins with the birders. We climbed Island 12 and had a good 1 hr look around and could not see anything. Got a call from the diving team of a humpback whale at norsel point. Beaufort 3-4. Great visibility though from the top of the island. 
3/5/2016,8:30,11:45,3:15,,Did stn e express box. Beaufort 0-2. No whales and not much krill
3/5/2016,13:30,16:00,2:30,,Did cormorant box transec t and south boating. Started snowing heavily. 
3/6/2016,,,0:00,,"Weather to bad, winds exceeding 30Knts Did not go out. Worked on stuff at station"
3/8/2016,8:45,11:00,2:15,,Went with mike 2miles south of station E to retrieve glider. Were accompianed by birders. Beaufrot 0-1
3/8/2016,13:00,16:00,3:00,,"North and South Boating, Beaufort 2-3"
3/9/2016,8:30,12:00,3:30,,"Dream with birders, and then south and north boating. Found one whale inbetween halfway and norsel"
3/9/2016,13:00,15:00,2:00,,"Beaufort 2-3, North and South boating"
3/10/2016,10:00,12:00,2:00,,"Beaufort 3, North and south boating"
3/11/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/12/2016,10:00,11:30,1:30,,"Seas to rough, potenitally saw a whale near station E, but 3-5 ft swells"
3/12/2016,16:00,19:00,3:00,,FL highwat
3/13/2016,13:30,16:30,3:00,,"10+ HUWH near outcast and beyond. Collected 7 biopsy samples, lost one bolt, Beufort 1-2 and sun"
3/14/2016,10:00,12:00,2:00,,"South and north boating area, beufort 2"
3/14/2016,14:00,17:30,3:30,,Corm transect and collected one biopsy sample out by Outcast (also saw four other humpback whales outside boating area)
3/15/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/16/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/17/2016,9:00,10:30,1:30,,"North and south, beaufort 3-4"
3/17/2016,14:00,16:00,2:00,,"North and south, beaufort 3-4"
3/19/2016,8:30,12:15,3:45,,"South and Stn E, seen one humpback"
3/19/2016,13:15,16:00,2:45,,"calibration of 38 off stepping stones, need to re-do record not on. "
3/20/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/21/2016,9:30,10:30,1:00,,Attempted calibration but winds picked up to +40 so had to come back 
3/22/2016,8:15,10:30,2:15,,Calibrated off of pier
3/22/2016,10:30,12:00,1:30,,North and South
3/23/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/24/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/25/2016,9:30,11:45,2:15,,"Biscoe with birders, found 3 whales, three samples, beaufort 3"
3/25/2016,14:30,16:00,1:30,,North and part of south. Really swelly (4 to 8 ft swells) came back. 
3/26/2016,,,0:00,,"Weather to bad, winds exceeding 20Knts Did not go out. Worked on stuff at station"
3/27/2016,,,0:00,,"Winds exceeding 20 knots, did not go out"
3/28/2016,,,0:00,,"Winds exceeding 20 knots, did not go out"
3/29/2016,8:30,10:00,1:30,,"North and south, Beufort 3"
3/29/2016,11:00,13:00,2:00,,"Birders spotted whale between norsal pt and halfway, Beufort 2. Found and sampled 8 HUWH and sighted one Minke"
3/29/2016,15:00,17:30,2:30,,"north and south, no whales"
3/30/2016,,,0:00,,"Winds exceeding 20 knots, did not go out, Erin went up glacier around 3pm and sighted ~5 whales out by halfway island again. ~5-10 whales showed up around torgerson and de laca and we watched them from the galley"
3/31/2016,9:00,12:45,3:45,,"North and South, two biopsies, Beaufort 3-4, made sampling really difficult, winds at 8 knts"
3/31/2016,14:00,16:30,2:30,,"North and South, Beaufort 3-4"
4/1/2016,9:30,11:45,2:15,,"North and South, Biscoe with Birders. Found one whale we sampled on the 29th. Mn16_089D_P"
4/1/2016,14:45,17:45,3:00,,"Erin went up glacier, spotted whales between Norseal Pt and Halfway, Gabby and Mark accompanied and we worked in between Norsel and Halfway; Resighted three whales (splashy fluke Mn16_089C_P, and mom and juvenile Mn16_089G_P, Mn16_089H). Encountered 10-15 Mnova, and minke"
4/2/2016,9:45,11:00,1:15,,"North and South, Beaufort 2-3"
4/2/2016,14:00,17:15,3:15,,Spotted whales out near halfway again. Went out with birders. Got three more Mnova samples from two whales not sampled yesterday. Also spotted ~20 Orcas. One Mnova breached 4 times (Mutys Brother Mn16_092E_P)
4/3/2016,14:00,16:30,2:30,,"North and South, two whales near norsel, one sample, mom and calf previosly sampled. With Paul Cuttner, LTER Program Manager"
4/4/2016,9:30,13:00,3:30,,"North and south, whales still out btwn norsel and halfway. Got one sample in the am (Re-sample)"
4/4/2016,14:00,17:00,3:00,,"North and south, whales still out btwn norsel and halfway. Got one sample in the pm, not a recognized individual. "
4/5/2016,,,0:00,,Bad weather no boating
4/6/2016,,,0:00,,Bad weather no boating
4/7/2016,16:00,17:30,1:30,,"North boating area sampled four individuals, handful of whales observed on horizon outside of boating area (~5)"
4/8/2016,9:45,12:30,2:45,,North boating area and outcast. Sampled four individuals and observed ~5 whales outside of boating area toward halfway island
1/5/2017,17:45,20:00,2:15,,Biopsy
1/6/2017,8:30,12:00,3:30,,Biopsy
1/8/2017,9:00,16:00,7:00,,Biopsy
1/12/2017,8:40,13:00,4:20,,"biopsy, got 6 samples"
1/12/2017,13:45,17:45,4:00,,"biopsy, got 6 samples"
1/13/2017,10:30,13:00,2:30,,"biopsy, got two samples with Polly from NSF"
1/17/2017,13:00,17:00,4:00,,Biopsy survey of north and south.0
1/18/2017,9:45,16:00,6:15,,Joubins and north and south boating
1/19/2017,9:15,12:00,2:45,,"Biopisy survey, got 6 biopsies"
1/19/2017,14:00,16:30,2:30,,"EK60 opportunistic on 10+ feeding animals, and 3 more biopsies"
1/20/2017,9:00,12:00,3:00,,Ek60 of FL hwy then came back to get lunch on Seabourne Quest Cruise ship
1/20/2017,15:00,16:00,1:00,,Ek60 of palmer station transect
1/21/2017,,,0:00,,"Bad weather day, could not go out"
1/22/2017,10:00,13:00,3:00,,EK60 survey at cormorant transect
1/22/2017,14:00,18:00,4:00,,Biscoe with birders and one biopsy
1/23/2017,9:00,16:00,7:00,,"Joubins, Dream and North boating with Birders, two sample"
1/24/2017,10:00,13:00,3:00,,"Ek60 and biopsy survey, Stn E express"
1/25/2017,,,0:00,,"Bad weather day, could not go out"
1/26/2017,,,0:00,,"Bad weather day, could not go out"
1/27/2017,,,0:00,,"Bad weather day, could not go out"
1/28/2017,,,0:00,,"Bad weather day, could not go out"
1/29/2017,,,0:00,,"Bad weather day, could not go out"
1/30/2017,8:30,11:45,3:15,,"biopsy, got 3 samples"
1/31/2017,9:00,14:30,5:30,,"Joubins and glider recovery for nicole, got 1 sample in Joubins"
1/31/2017,3:00,5:15,2:15,,"Ek60 survey, palmer station and cormorant"
2/1/2017,8:30,11:15,2:45,,"Ek60 survey, fl hwy and opportunisitic around whales and penguins, one sample"
2/1/2017,13:30,17:15,3:45,,"Ek60, Stne E, opportunistic around whale near same krill spot this morning (wpt 17), whale went nuts and thrashed at the surface for like 10 minutes. Still huge amount of krill."
2/2/2017,9:00,16:00,7:00,,Joubins with birders. Sample 6 whale bones and boated around the joubins collected trash. 
2/3/2017,10:00,12:00,2:00,,Biopsy survey of north and south. Snowing and poor visibility. 
2/4/2017,9:30,12:00,2:30,,"Biopsy survery of north and south. Saw two minke whales, got shot at one, no sample. Mom with calf humpback"
2/4/2017,14:00,17:00,3:00,,"biopsy survery of north and south, no whales"
2/5/2017,9:15,12:00,2:45,,"LMG arrives, flew torgerson with Dave and Julian as well as palmer station, now whales"
2/6/2017,9:00,12:30,3:30,,Ek60 of cormorant transect
2/6/2017,13:00,17:00,4:00,,"Ek60 of Fl hwy transect, saw no whales"
2/7/2017,9:00,12:30,3:30,,"Ek60 of Stne E express and palmer station transect, no whales"
2/8/2017,8:30,10:30,2:00,,"Biopsy survey in solas, saw no whales"
2/8/2017,13:00,16:00,3:00,,"Biscoe and Dream trip, with TR and Rosemary. Got one minke sample"
2/9/2017,8:45,12:30,3:45,,"North and south boating, no whales, saw a few whales out by Halfway, got Buggers and went out, 5-10 whales w/in 1 mile of Halway, got two samples, saw another minke"
2/10/2017,,,0:00,,"Bad weather day, could not go out"
2/11/2017,9:00,13:00,4:00,,"Dream with buggers, got 5 samples. Group of three and two singles"
2/12/2017,,,0:00,,"Bad weather day, could not go out"
2/13/2017,9:00,10:45,1:45,,"South boating araea and station E, encounted two minkes (super friendly) and three humpbacks"
2/14/2017,,,0:00,,"Bad weather day, could not go out"
2/15/2017,9:00,15:00,6:00,,"south and north boating, with FL cove and cormorant tsect"
2/16/2017,9:00,12:00,3:00,,"Stne transect, had to cut and go into palmer transect due to swell"
2/16/2017,14:00,16:00,2:00,,Stne transect finished
2/17/2017,9:30,15:30,6:00,,"Biscoe and south boating. One mno sample, sighted a minke and ~20 orcas"
2/18/2017,9:00,12:00,3:00,,"North and south boating, three whales out by outcasts. No samples"
2/19/2017,9:00,11:30,2:30,,"North and south, no whales"
2/19/2017,15:00,17:15,2:15,,"North and south boating, two minke whales and several humpbacks"
2/20/2017,10:00,12:30,2:30,,"Humble loop with Birders, on way back found minke, switched to solas and got one minke sample"
2/21/2017,9:30,14:30,5:00,,"south and biscoe, three more Mnos and one minke sighted"
2/22/2017,8:30,14:30,6:00,,"All four ek60 transects, lots of krill, whales feeding last night off station, no whales today"
2/22/2017,15:30,20:00,4:30,,Biscoe with birders to do diets and fledglings. Saw one minke whale near corm on way back home
2/23/2017,9:30,12:30,3:00,,"North and south boating, saw one minke whale, got good photo id, but now sample. Weather picked up in afternoon"
2/24/2017,,,0:00,,"Bad weather day, could not go out"
2/25/2017,9:15,12:30,3:15,,North and South boating and Dream. One new biopsy and re-ecountered group from 4 days ag0
2/26/2017,,,0:00,,"Bad weather day, could not go out"
2/27/2017,10:00,16:00,6:00,,"North and south boating and Biscoe with Birders to do fledging weights of gentoos, no animals"
2/28/2017,9:00,16:00,7:00,,"North and south boating, got one sample this morning, then went to shortcut with birders"
3/1/2017,8:45,17:00,8:15,,"EK60 surveys, north and south, all surveys in one day. Logan took afternoon off to work on thesis, James took Doc "
3/2/2017,10:00,17:00,7:00,,"Joubins trip with birders, found one minke and ~6-9 humpies during trek back"
3/3/2017,10:00,15:00,5:00,,"North, Halfway, and Dream with Buggers. 5 Samples and 5 flukes"
3/4/2017,,,0:00,,"Bad weather day, could not go out"
3/5/2017,9:00,16:00,7:00,,"North and South boating, and biscoe with Birders to do gentoo weights, sighted one minke in biscoe bay"
3/6/2017,10:00,12:30,2:30,,"North and South, found one minke whale near Cormorant Island, Got sample"
3/7/2017,13:00,17:30,4:30,,Shortcut island with birders to do skua chicks
3/8/2017,9:00,16:00,7:00,,"ek 60 surveys, lots of whales around"
3/9/2017,8:30,10:00,1:30,,ek 60 of plamer station transect
3/9/2017,11:00,16:30,5:30,,Joubins with Birders. One humpback near dream and two minke whales in Joubins
3/10/2017,9:00,11:00,2:00,,North and south boating area
3/11/2017,9:30,12:30,3:00,,North and South boating
3/12/2017,9:30,12:30,3:00,,North and South boating
3/13/2017,9:30,12:30,3:00,,North and South boating
3/14/2017,9:30,12:30,3:00,,North and South boating
3/24/2017,9:00,12:30,3:30,,Last prey map of the year!!!! Station E express and two very happy whales
3/24/2017,13:45,15:00,1:15,,Calibration of ducers behind stepping stones
3/25/2017,9:30,12:30,3:00,,"North and South Boating, one mom calf pair and a southern right whale"
3/26/2017,9:30,12:30,3:00,,
3/26/2017,14:30,17:00,2:30,,"North and South boating, 5 whales out near outcasts"
3/27/2017,,,0:00,,Bad weather day
4/3/2017,9:30,17:00,7:30,,Survey to Le Maire on LMG
4/4/2017,9:30,11:30,2:00,,"North and South Boating, Saw animals in Wylie Cove by halfway but no close enough to work with"
4/4/2017,13:00,16:30,3:30,,"Wylie Cove, Saw several animals, 2 biopsies."
4/7/2017,12:45,15:00,2:15,,"North and South Boating area, no animals seen."
4/10/2017,16:00,16:30,0:30,,"Opportunistic sighting of 5 Humpbacks, 2+2+1 off Norsel Point."
4/12/2017,12:45,15:15,2:30,,"North and South Boating area, 3 animals seen near ourcasts/spume"
4/16/2017,10:00,12:30,2:30,,"North and South Boating area, no animals seen."
4/25/2017,13:00,15:30,3:30,,"Survey of N/S Boating area and testing of satellite deployment gun, no animals seen"
4/26/2017,13:00,16:00,4:30,,"North and South Boating area, no animals seen."
1/4/2018,19:45,22:00,2:15,,Biopsy of 1 Humpback whale
1/5/2018,9:45,11:30,1:45,,UAS Flight Practice
1/5/2018,14:30,17:15,2:45,,Whale Survey of N. Boating Area and UAS Practice Flight
1/6/2018,19:20,21:30,2:10,,Boating in the Southern boating area after reports of whales there. Found whales past boating limits 2+ group size of unidentified species being active.
1/7/2018,9:30,12:20,2:50,,Surveyed in the Southern and Northern boating areas. No whales seen. Practiced Crossbow on icebergs east of Torgeson Island
1/7/2018,14:45,17:40,2:55,,Surveyed Northern and Southern Boating areas. 1 Biopsy sample aquired near Outcast Is. Sample is likely a resample from Mn18_003A_P
1/8/2018,10:50,14:55,4:05,,"Surveyed Northern and Southern Boating areas. 4 Mn Whales sighted, 3 Biopsies performed, only 2 Biopsy samples aquired "
1/9/2018,-,-,,,"Bad weather forecasted, stayed at station working on housekeeping and setting up echosounder on RHIB"
1/10/2018,9:00,13:10,4:10,,"Surveyed Northern and Southern Boating Areas. 2 Mn Whales Sighted, 2 Biopsies performed, 1 Biopsy Sample Collected"
1/11/2018,9:00,12:40,3:40,,"Surveyed to and from BISCO with Birders, no whales seen. Went on BISCO to assist with Brown (Subantarctic) Skua and South Polar Skua survey."
1/12/2018,8:50,12:10,3:20,,"Surveyed N. and S. boating area. Seen 2 Mn Whales, First mother and Calf of the season, successfully biopsied mother. Deployed transducer behind Shortcut island for testing."
1/13/2018,13:00,16:15,3:15,,Surveyed N. and S. Boating Area. Seen 4 Mn whales. 2 Groups of 2. 4 Biopsies collected
1/14/2018,11:45,14:00,2:15,,"Surveyed in the Southern and Northern boating areas. No whales seen. Tested 120 kHz transducer setup, all OK!"
1/15/2018,11:30,14:30,3:00,,"Surveyed N & S boating areas, encountered 2 groups of 2. Collected fluke & dorsal photo IDS for 2 individuals in a pair, collected only dorsal (x2) and partial fluke (x1) photos for other 2 individuals in a pair before they transited beyond the northern boating limit"
1/16/2018,9:30,12:45,3:15,,"Surveyed N. and S. Boating Areas, wind picked up and could not go out in afternoon."
1/17/2018,9:00,11:00,2:00,,Calibrating EK60 120 kHz
1/17/2018,13:30,15:15,1:45,,Calibrating EK60 120 kHz
1/17/2018,15:30,17:30,2:00,,"Surveyed S boating area, traveled between Cormorant Island and Loaf Island with birders in extended boating area, collected fluke and dorsal photos for 2 individuals foraging independently"
1/18/2018,9:40,12:10,2:30,,"Surveyed N & S boating areas, no whales (despite reports of one off Bonaparte Pt.)"
1/19/2018,9:40,12:00,2:20,,"Surveyed N & S boating areas, no whales. Ran prey mapping at Cormorant Island transect."
1/19/2018,14:40,17:00,2:20,,"Surveyed N & S boating areas, no whales"
1/20/2018,9:45,12:30,2:45,,Fog created poor visibility. No whales seen. Performed Palmer Station echosounder transect
1/21/2018,11:45,16:45,5:00,,"Bad wind in the AM. Surveyed S boating area and initiated (but did not complete) an echosounding transect along STN-E route. Encountered 3 groups of 2 whales and 1 solitary whale, all apparently feeding. Echosounded around the last 3 whales encountered."
1/22/2018,8:45,12:30,3:45,,"Surveyed S boating area, found 1 pair (mother and juvenile) by Spume Rocks. Began STN-E transect at 10:15, finished at 12:15."
1/22/2018,13:45,14:45,1:00,,"Surveyed N boating area, found nothing."
1/22/2018,16:00,17:45,1:45,,"Surveyed S boating area, found 1 pairs: 1 mother and calf, 1 pair of feeding adults."
1/23/2018,8:15,10:00,1:45,,"Surveyed north of boating area, en route to Dream. Found 1 pair of feeding adult humpbacks. Encountered 2 minkes near Halfway, but were not able to photograph or biopsy"
1/23/2018,12:00,12:45,0:45,,Surveyed north of boating area and northern boating area while returning from Dream. No whales.
1/23/2018,14:45,17:15,2:30,,"Surveyed Southern Boating area and performed the Cormorant EK60 transect, but aborted due to high brash ice. No whales seen."
1/24/2018,-,-,,,"Blown out, bad weather day"
1/25/2018,10:00,12:30,2:30,,"Surveyed S. and N. Boating area. Found 3 whales, one group of 2 and a solo whale off West of Janis. Lots of rain and some snow. Wind was very high in the morning, and peaked again after 1130. Died down in the afternoon."
1/25/2018,14:30,18:10,3:40,,"Surveyed to BISCO island and embarked upon the island. Surveyed 2 whales, a mother and calf pair on the way down to BISCO. Heavy Snow, low wind and low vis."
1/26/2018,9:40,13:00,3:20,,Surveyed S. boating area and perfomred the FL Highway transect with the 120 kHz echosounder
1/26/2018,14:20,16:00,1:40,,"Surveyed N & S boating areas, no whales"
1/27/2018,9:30,12:00,2:30,,"Surveyed N and S Boating areas, 3 whales seen"
1/28/2018,9:40,12:00,2:20,,"Surveyed N and S Boating areas, 1 whale sighted. Blown out for the rest of the day."
1/29/2018,9:00,12:15,3:15,,"Surveyed N and S. boating areas, and performed the STN E express transect. No whales sighted, but HADAR observed whales near station E ~1130 transiting out of boating area.'"
1/29/2018,14:10,16:10,2:00,,"Surveyed N. and S. Boating Areas, sighted one humpback whale"
1/30/2018,10:10,11:20,1:10,,Ran Palmer Station prey-mapping transect on RIGIL using 38 and 120 kHz transducers. All groovy.
1/30/2018,13:10,17:50,4:40,,"Surveyed extended and standard boating areas, starting with northern boating area, transiting to dream, back down around the outside of Outcast Island, down to Biscoe, then back into the southern boating area. Encountered 4 whales outside Outcast Island (2 solitary, 1 pair), then 5 more whales near Biscoe (1 solitary, 1 group of 4)."
1/31/2018,9:00,10:30,1:30,,Surveyed Southern Boating Area. Found breaching mother and calf!
2/1/2018,9:40,15:00,5:20,,"Surveyed Southern boating area. Encountered 2 Humpback whales, and 1 Minke Whale. Biopsied 1 Minke."
2/2/2018,9:50,12:10,2:20,,"Surveyed Southern boating area, surveyed 4 Mn whales. Performed the Palmer Station trasect"
2/3/2018,-,-,,,"Poor Weather, no survey"
2/4/2018,9:40,12:40,3:00,,"Surveyed S and N boating areas. Found 6 whales (2 pairs, 2 solitary), collected 3 fluke photographs. 3 whales were not fluking at all, including a mother-calf pair that we monitored for 2 hours before abandoning."
2/4/2018,13:50,17:00,3:10,,"Surveyed N and S boating areas, found 3 whales (1 group), collected 3 fluke photos and 1 biopsy for a return visitor. Ran cormorant island transect."
2/5/2018,9:15,14:15,5:00,,"Surveyed N and S boating areas, found 2 solitary whales, ran station E transect."
